work_date,work_week,store_id,Site Name,metric,quantity,city
1/2/2015,12/28/2014,1232,Store A,Product A Produced,29,LA
1/2/2015,12/28/2014,1232,Store A,Hours Worked,98,LA
1/9/2015,1/4/2015,6453,Store B,Product B Produced,34,San Diego
1/9/2015,1/4/2015,6453,Store B,Product A Produced,77,San Diego
1/5/2015,1/4/2015,6453,Store B,Hours Worked,113,San Diego
1/10/2015,1/4/2015,6453,Store B,Hours Worked,95,San Diego
1/6/2015,1/4/2015,6453,Store B,Hours Worked,86,San Diego
1/4/2015,1/4/2015,6453,Store B,Hours Worked,102,San Diego
1/9/2015,1/4/2015,6453,Store B,Hours Worked,120,San Diego
1/7/2015,1/4/2015,1234,Store C,Product B Produced,13,San Diego
1/8/2015,1/4/2015,1234,Store C,Product B Produced,14,San Diego
1/8/2015,1/4/2015,1234,Store C,Product A Produced,28,San Diego
1/7/2015,1/4/2015,1234,Store C,Product A Produced,72,San Diego
1/6/2015,1/4/2015,1234,Store C,Product A Produced,54,San Diego
1/5/2015,1/4/2015,1234,Store C,Product A Produced,104,San Diego
1/6/2015,1/4/2015,1234,Store C,Product B Produced,49,San Diego
1/6/2015,1/4/2015,1234,Store C,Hours Worked,84,San Diego
1/7/2015,1/4/2015,1234,Store C,Hours Worked,111,San Diego
1/8/2015,1/4/2015,1234,Store C,Hours Worked,106,San Diego
1/5/2015,1/4/2015,1234,Store C,Hours Worked,94,San Diego
1/23/2015,1/18/2015,5678,Store D,Product A Produced,26,San Francisco
1/21/2015,1/18/2015,5678,Store D,Hours Worked,84,San Francisco
1/22/2015,1/18/2015,5678,Store D,Hours Worked,94,San Francisco
1/23/2015,1/18/2015,5678,Store D,Hours Worked,100,San Francisco
1/20/2015,1/18/2015,5678,Store D,Hours Worked,97,San Francisco
1/30/2015,1/25/2015,6453,Store B,Product A Produced,110,San Diego
1/28/2015,1/25/2015,6453,Store B,Product A Produced,88,San Diego
1/28/2015,1/25/2015,6453,Store B,Product B Produced,35,San Diego
1/30/2015,1/25/2015,6453,Store B,Hours Worked,108,San Diego
1/25/2015,1/25/2015,6453,Store B,Hours Worked,99,San Diego
1/28/2015,1/25/2015,6453,Store B,Hours Worked,99,San Diego
1/27/2015,1/25/2015,6453,Store B,Hours Worked,116,San Diego
1/31/2015,1/25/2015,2356,Store E,Product B Produced,16,San Diego
1/29/2015,1/25/2015,2356,Store E,Product B Produced,28,San Diego
1/27/2015,1/25/2015,2356,Store E,Hours Worked,83,San Diego
1/26/2015,1/25/2015,2356,Store E,Hours Worked,82,San Diego
1/31/2015,1/25/2015,2356,Store E,Hours Worked,107,San Diego
1/28/2015,1/25/2015,2356,Store E,Hours Worked,85,San Diego
1/29/2015,1/25/2015,2356,Store E,Hours Worked,80,San Diego
1/27/2015,1/25/2015,2356,Store E,Product A Produced,75,San Diego
1/26/2015,1/25/2015,2356,Store E,Product A Produced,65,San Diego
1/31/2015,1/25/2015,2356,Store E,Product A Produced,74,San Diego
2/6/2015,2/1/2015,2356,Store E,Product B Produced,27,San Diego
2/5/2015,2/1/2015,2356,Store E,Product B Produced,12,San Diego
2/7/2015,2/1/2015,2356,Store E,Product B Produced,42,San Diego
2/7/2015,2/1/2015,2356,Store E,Hours Worked,107,San Diego
2/2/2015,2/1/2015,2356,Store E,Hours Worked,106,San Diego
2/3/2015,2/1/2015,2356,Store E,Hours Worked,84,San Diego
2/5/2015,2/1/2015,2356,Store E,Hours Worked,103,San Diego
2/6/2015,2/1/2015,2356,Store E,Hours Worked,114,San Diego
2/3/2015,2/1/2015,2356,Store E,Product A Produced,65,San Diego
2/2/2015,2/1/2015,2356,Store E,Product A Produced,33,San Diego
2/7/2015,2/1/2015,2356,Store E,Product A Produced,95,San Diego
