,Site Name,city,metric,quantity,work_date,date,month,year
0,A,LA,Production A,29,02/01/2015,02,Jan,2015
1,A,LA,Hours Worked,98,02/01/2015,02,Jan,2015
2,B,San Diego,Production B,34,09/01/2015,09,Jan,2015
3,B,San Diego,Production A,77,09/01/2015,09,Jan,2015
4,B,San Diego,Hours Worked,113,05/01/2015,05,Jan,2015
5,B,San Diego,Hours Worked,95,10/01/2015,10,Jan,2015
6,B,San Diego,Hours Worked,86,06/01/2015,06,Jan,2015
7,B,San Diego,Hours Worked,102,04/01/2015,04,Jan,2015
8,B,San Diego,Hours Worked,120,09/01/2015,09,Jan,2015
9,C,San Diego,Production B,13,07/01/2015,07,Jan,2015
10,C,San Diego,Production B,14,08/01/2015,08,Jan,2015
11,C,San Diego,Production A,28,08/01/2015,08,Jan,2015
12,C,San Diego,Production A,72,07/01/2015,07,Jan,2015
13,C,San Diego,Production A,54,06/01/2015,06,Jan,2015
14,C,San Diego,Production A,104,05/01/2015,05,Jan,2015
15,C,San Diego,Production B,49,06/01/2015,06,Jan,2015
16,C,San Diego,Hours Worked,84,06/01/2015,06,Jan,2015
17,C,San Diego,Hours Worked,111,07/01/2015,07,Jan,2015
18,C,San Diego,Hours Worked,106,08/01/2015,08,Jan,2015
19,C,San Diego,Hours Worked,94,05/01/2015,05,Jan,2015
20,D,San Francisco,Production A,26,23/01/2015,23,Jan,2015
21,D,San Francisco,Hours Worked,84,21/01/2015,21,Jan,2015
22,D,San Francisco,Hours Worked,94,22/01/2015,22,Jan,2015
23,D,San Francisco,Hours Worked,100,23/01/2015,23,Jan,2015
24,D,San Francisco,Hours Worked,97,20/01/2015,20,Jan,2015
25,B,San Diego,Production A,110,30/01/2015,30,Jan,2015
26,B,San Diego,Production A,88,28/01/2015,28,Jan,2015
27,B,San Diego,Production B,35,28/01/2015,28,Jan,2015
28,B,San Diego,Hours Worked,108,30/01/2015,30,Jan,2015
29,B,San Diego,Hours Worked,99,25/01/2015,25,Jan,2015
30,B,San Diego,Hours Worked,99,28/01/2015,28,Jan,2015
31,B,San Diego,Hours Worked,116,27/01/2015,27,Jan,2015
32,E,San Diego,Production B,16,31/01/2015,31,Jan,2015
33,E,San Diego,Production B,28,29/01/2015,29,Jan,2015
34,E,San Diego,Hours Worked,83,27/01/2015,27,Jan,2015
35,E,San Diego,Hours Worked,82,26/01/2015,26,Jan,2015
36,E,San Diego,Hours Worked,107,31/01/2015,31,Jan,2015
37,E,San Diego,Hours Worked,85,28/01/2015,28,Jan,2015
38,E,San Diego,Hours Worked,80,29/01/2015,29,Jan,2015
39,E,San Diego,Production A,75,27/01/2015,27,Jan,2015
40,E,San Diego,Production A,65,26/01/2015,26,Jan,2015
41,E,San Diego,Production A,74,31/01/2015,31,Jan,2015
42,E,San Diego,Production B,27,06/02/2015,06,Feb,2015
43,E,San Diego,Production B,12,05/02/2015,05,Feb,2015
44,E,San Diego,Production B,42,07/02/2015,07,Feb,2015
45,E,San Diego,Hours Worked,107,07/02/2015,07,Feb,2015
46,E,San Diego,Hours Worked,106,02/02/2015,02,Feb,2015
47,E,San Diego,Hours Worked,84,03/02/2015,03,Feb,2015
48,E,San Diego,Hours Worked,103,05/02/2015,05,Feb,2015
49,E,San Diego,Hours Worked,114,06/02/2015,06,Feb,2015
50,E,San Diego,Production A,65,03/02/2015,03,Feb,2015
51,E,San Diego,Production A,33,02/02/2015,02,Feb,2015
52,E,San Diego,Production A,95,07/02/2015,07,Feb,2015
53,E,San Diego,Production A,57,06/02/2015,06,Feb,2015
54,F,San Mateo,Production A,31,13/02/2015,13,Feb,2015
55,F,San Mateo,Production A,36,12/02/2015,12,Feb,2015
56,F,San Mateo,Production A,29,10/02/2015,10,Feb,2015
57,F,San Mateo,Hours Worked,108,10/02/2015,10,Feb,2015
58,F,San Mateo,Hours Worked,96,12/02/2015,12,Feb,2015
59,F,San Mateo,Hours Worked,84,11/02/2015,11,Feb,2015
60,F,San Mateo,Hours Worked,109,13/02/2015,13,Feb,2015
61,F,San Mateo,Hours Worked,14,09/02/2015,09,Feb,2015
62,F,San Mateo,Hours Worked,82,14/02/2015,14,Feb,2015
63,F,San Mateo,Production B,15,13/02/2015,13,Feb,2015
64,F,San Mateo,Production A,32,19/02/2015,19,Feb,2015
65,F,San Mateo,Hours Worked,106,21/02/2015,21,Feb,2015
66,F,San Mateo,Hours Worked,89,17/02/2015,17,Feb,2015
67,F,San Mateo,Hours Worked,93,20/02/2015,20,Feb,2015
68,F,San Mateo,Hours Worked,105,18/02/2015,18,Feb,2015
69,F,San Mateo,Production B,14,19/02/2015,19,Feb,2015
70,F,San Mateo,Production B,13,18/02/2015,18,Feb,2015
71,F,San Mateo,Production B,26,15/02/2015,15,Feb,2015
72,F,San Mateo,Hours Worked,102,19/02/2015,19,Feb,2015
73,D,San Francisco,Hours Worked,113,21/04/2015,21,Apr,2015
74,D,San Francisco,Hours Worked,103,20/04/2015,20,Apr,2015
75,D,San Francisco,Hours Worked,110,23/04/2015,23,Apr,2015
76,D,San Francisco,Hours Worked,103,22/04/2015,22,Apr,2015
77,D,San Francisco,Production A,28,21/04/2015,21,Apr,2015
78,D,San Francisco,Production A,85,22/04/2015,22,Apr,2015
79,D,San Francisco,Production A,111,30/04/2015,30,Apr,2015
80,D,San Francisco,Production A,98,01/05/2015,01,May,2015
81,D,San Francisco,Production A,30,29/04/2015,29,Apr,2015
82,G,Irvine,Production A,64,10/05/2015,10,May,2015
83,G,Irvine,Production A,138,16/05/2015,16,May,2015
84,G,Irvine,Hours Worked,112,16/05/2015,16,May,2015
85,G,Irvine,Hours Worked,52,10/05/2015,10,May,2015
86,G,Irvine,Production B,16,16/05/2015,16,May,2015
87,G,Irvine,Production B,18,10/05/2015,10,May,2015
88,G,Irvine,Production B,13,13/05/2015,13,May,2015
89,F,San Mateo,Production A,34,19/05/2015,19,May,2015
90,F,San Mateo,Production B,16,20/05/2015,20,May,2015
91,F,San Mateo,Production B,15,22/05/2015,22,May,2015
92,F,San Mateo,Hours Worked,105,21/05/2015,21,May,2015
93,F,San Mateo,Hours Worked,82,19/05/2015,19,May,2015
94,F,San Mateo,Hours Worked,151,17/05/2015,17,May,2015
95,F,San Mateo,Hours Worked,117,22/05/2015,22,May,2015
96,F,San Mateo,Hours Worked,94,20/05/2015,20,May,2015
97,G,Irvine,Production A,63,03/01/2015,03,Jan,2015
98,G,Irvine,Hours Worked,92,03/01/2015,03,Jan,2015
99,G,Irvine,Production A,149,10/01/2015,10,Jan,2015
100,G,Irvine,Production A,104,04/01/2015,04,Jan,2015
101,G,Irvine,Hours Worked,78,04/01/2015,04,Jan,2015
102,G,Irvine,Hours Worked,63,08/01/2015,08,Jan,2015
103,G,Irvine,Hours Worked,82,10/01/2015,10,Jan,2015
104,G,Irvine,Hours Worked,94,17/01/2015,17,Jan,2015
105,G,Irvine,Hours Worked,96,11/01/2015,11,Jan,2015
106,G,Irvine,Production B,16,11/01/2015,11,Jan,2015
107,G,Irvine,Production B,18,17/01/2015,17,Jan,2015
108,G,Irvine,Production A,30,11/01/2015,11,Jan,2015
109,G,Irvine,Production A,36,17/01/2015,17,Jan,2015
110,A,LA,Production B,25,22/04/2015,22,Apr,2015
111,A,LA,Hours Worked,114,22/04/2015,22,Apr,2015
112,A,LA,Hours Worked,106,20/04/2015,20,Apr,2015
113,A,LA,Production B,15,23/04/2015,23,Apr,2015
114,A,LA,Production B,13,20/04/2015,20,Apr,2015
115,A,LA,Hours Worked,106,23/04/2015,23,Apr,2015
116,A,LA,Hours Worked,113,21/04/2015,21,Apr,2015
117,A,LA,Production B,14,27/04/2015,27,Apr,2015
118,A,LA,Production B,18,29/04/2015,29,Apr,2015
119,A,LA,Hours Worked,110,01/05/2015,01,May,2015
120,A,LA,Hours Worked,82,27/04/2015,27,Apr,2015
121,A,LA,Hours Worked,120,29/04/2015,29,Apr,2015
122,A,LA,Hours Worked,90,30/04/2015,30,Apr,2015
123,A,LA,Hours Worked,114,28/04/2015,28,Apr,2015
124,A,LA,Production B,13,01/05/2015,01,May,2015
125,A,LA,Production B,15,30/04/2015,30,Apr,2015
126,A,LA,Production A,34,28/04/2015,28,Apr,2015
127,A,LA,Production B,14,07/05/2015,07,May,2015
128,A,LA,Hours Worked,102,08/05/2015,08,May,2015
129,A,LA,Hours Worked,87,04/05/2015,04,May,2015
130,A,LA,Hours Worked,85,06/05/2015,06,May,2015
131,A,LA,Hours Worked,87,05/05/2015,05,May,2015
132,A,LA,Hours Worked,115,07/05/2015,07,May,2015
133,A,LA,Production B,12,04/05/2015,04,May,2015
134,A,LA,Production B,17,06/05/2015,06,May,2015
135,A,LA,Production A,32,06/05/2015,06,May,2015
136,A,LA,Production A,26,08/05/2015,08,May,2015
137,C,San Diego,Hours Worked,97,12/05/2015,12,May,2015
138,C,San Diego,Hours Worked,87,11/05/2015,11,May,2015
139,C,San Diego,Hours Worked,117,10/05/2015,10,May,2015
140,C,San Diego,Hours Worked,83,14/05/2015,14,May,2015
141,C,San Diego,Hours Worked,113,13/05/2015,13,May,2015
142,C,San Diego,Production A,29,13/05/2015,13,May,2015
143,C,San Diego,Production A,54,12/05/2015,12,May,2015
144,C,San Diego,Production B,13,14/05/2015,14,May,2015
145,C,San Diego,Production B,15,10/05/2015,10,May,2015
146,C,San Diego,Production A,27,10/05/2015,10,May,2015
147,B,San Diego,Hours Worked,114,19/05/2015,19,May,2015
148,B,San Diego,Hours Worked,102,23/05/2015,23,May,2015
149,B,San Diego,Production B,15,19/05/2015,19,May,2015
150,B,San Diego,Hours Worked,97,20/05/2015,20,May,2015
151,B,San Diego,Hours Worked,128,17/05/2015,17,May,2015
152,B,San Diego,Hours Worked,120,22/05/2015,22,May,2015
153,B,San Diego,Production A,80,22/05/2015,22,May,2015
154,B,San Diego,Production A,92,19/05/2015,19,May,2015
155,B,San Diego,Production A,28,20/05/2015,20,May,2015
156,C,San Diego,Hours Worked,113,21/05/2015,21,May,2015
157,C,San Diego,Hours Worked,100,19/05/2015,19,May,2015
158,C,San Diego,Hours Worked,100,17/05/2015,17,May,2015
159,C,San Diego,Hours Worked,110,18/05/2015,18,May,2015
160,C,San Diego,Hours Worked,81,20/05/2015,20,May,2015
161,C,San Diego,Production B,40,18/05/2015,18,May,2015
162,C,San Diego,Production B,13,20/05/2015,20,May,2015
163,C,San Diego,Production A,167,17/05/2015,17,May,2015
164,B,San Diego,Production A,61,25/05/2015,25,May,2015
165,B,San Diego,Production B,18,28/05/2015,28,May,2015
166,B,San Diego,Production A,68,26/05/2015,26,May,2015
167,B,San Diego,Hours Worked,99,24/05/2015,24,May,2015
168,B,San Diego,Production B,36,26/05/2015,26,May,2015
169,B,San Diego,Hours Worked,57,25/05/2015,25,May,2015
170,B,San Diego,Hours Worked,110,30/05/2015,30,May,2015
171,B,San Diego,Hours Worked,92,29/05/2015,29,May,2015
172,B,San Diego,Hours Worked,82,26/05/2015,26,May,2015
173,C,San Diego,Hours Worked,118,24/05/2015,24,May,2015
174,B,San Diego,Production B,13,03/06/2015,03,Jun,2015
175,B,San Diego,Production A,28,05/06/2015,05,Jun,2015
176,B,San Diego,Production A,29,03/06/2015,03,Jun,2015
177,B,San Diego,Hours Worked,100,06/06/2015,06,Jun,2015
178,B,San Diego,Hours Worked,97,31/05/2015,31,May,2015
179,B,San Diego,Hours Worked,118,03/06/2015,03,Jun,2015
180,B,San Diego,Hours Worked,80,02/06/2015,02,Jun,2015
181,B,San Diego,Hours Worked,95,05/06/2015,05,Jun,2015
182,E,San Diego,Production A,74,04/06/2015,04,Jun,2015
183,E,San Diego,Production A,61,05/06/2015,05,Jun,2015
184,E,San Diego,Production A,37,01/06/2015,01,Jun,2015
185,E,San Diego,Production A,28,02/06/2015,02,Jun,2015
186,E,San Diego,Hours Worked,114,01/06/2015,01,Jun,2015
187,E,San Diego,Hours Worked,106,05/06/2015,05,Jun,2015
188,E,San Diego,Production B,16,06/06/2015,06,Jun,2015
189,E,San Diego,Hours Worked,100,04/06/2015,04,Jun,2015
190,E,San Diego,Hours Worked,96,02/06/2015,02,Jun,2015
191,E,San Diego,Hours Worked,105,06/06/2015,06,Jun,2015
192,E,San Diego,Hours Worked,110,11/06/2015,11,Jun,2015
193,E,San Diego,Hours Worked,109,12/06/2015,12,Jun,2015
194,E,San Diego,Hours Worked,100,08/06/2015,08,Jun,2015
195,E,San Diego,Hours Worked,29,13/06/2015,13,Jun,2015
196,E,San Diego,Production B,15,22/01/2015,22,Jan,2015
197,E,San Diego,Hours Worked,97,24/01/2015,24,Jan,2015
198,E,San Diego,Production B,52,20/01/2015,20,Jan,2015
199,E,San Diego,Hours Worked,100,23/01/2015,23,Jan,2015
200,E,San Diego,Hours Worked,117,20/01/2015,20,Jan,2015
201,E,San Diego,Hours Worked,93,22/01/2015,22,Jan,2015
202,E,San Diego,Hours Worked,57,19/01/2015,19,Jan,2015
203,E,San Diego,Production A,31,19/01/2015,19,Jan,2015
204,E,San Diego,Production A,84,23/01/2015,23,Jan,2015
205,E,San Diego,Production A,65,22/01/2015,22,Jan,2015
206,F,San Mateo,Production A,31,05/02/2015,05,Feb,2015
207,F,San Mateo,Production A,34,06/02/2015,06,Feb,2015
208,F,San Mateo,Hours Worked,96,07/02/2015,07,Feb,2015
209,F,San Mateo,Hours Worked,81,04/02/2015,04,Feb,2015
210,F,San Mateo,Production B,17,05/02/2015,05,Feb,2015
211,F,San Mateo,Production B,48,04/02/2015,04,Feb,2015
212,F,San Mateo,Production B,15,06/02/2015,06,Feb,2015
213,F,San Mateo,Production A,30,03/02/2015,03,Feb,2015
214,F,San Mateo,Hours Worked,114,05/02/2015,05,Feb,2015
215,F,San Mateo,Hours Worked,117,06/02/2015,06,Feb,2015
216,F,San Mateo,Hours Worked,101,03/02/2015,03,Feb,2015
217,B,San Diego,Production A,111,10/02/2015,10,Feb,2015
218,B,San Diego,Production B,14,10/02/2015,10,Feb,2015
219,B,San Diego,Production A,31,13/02/2015,13,Feb,2015
220,B,San Diego,Hours Worked,109,10/02/2015,10,Feb,2015
221,B,San Diego,Hours Worked,112,09/02/2015,09,Feb,2015
222,B,San Diego,Hours Worked,89,11/02/2015,11,Feb,2015
223,B,San Diego,Production B,14,11/02/2015,11,Feb,2015
224,B,San Diego,Hours Worked,105,13/02/2015,13,Feb,2015
225,B,San Diego,Hours Worked,90,08/02/2015,08,Feb,2015
226,C,San Diego,Production B,12,08/02/2015,08,Feb,2015
227,C,San Diego,Production B,13,12/02/2015,12,Feb,2015
228,C,San Diego,Production B,13,10/02/2015,10,Feb,2015
229,C,San Diego,Production A,37,10/02/2015,10,Feb,2015
230,C,San Diego,Production A,32,12/02/2015,12,Feb,2015
231,C,San Diego,Production A,74,08/02/2015,08,Feb,2015
232,C,San Diego,Hours Worked,113,09/02/2015,09,Feb,2015
233,C,San Diego,Hours Worked,93,10/02/2015,10,Feb,2015
234,C,San Diego,Hours Worked,88,11/02/2015,11,Feb,2015
235,C,San Diego,Hours Worked,95,12/02/2015,12,Feb,2015
236,C,San Diego,Hours Worked,84,08/02/2015,08,Feb,2015
237,D,San Francisco,Production A,33,26/02/2015,26,Feb,2015
238,D,San Francisco,Production A,37,23/02/2015,23,Feb,2015
239,D,San Francisco,Production A,37,24/02/2015,24,Feb,2015
240,D,San Francisco,Production A,26,25/02/2015,25,Feb,2015
241,D,San Francisco,Production A,121,27/02/2015,27,Feb,2015
242,D,San Francisco,Hours Worked,105,23/02/2015,23,Feb,2015
243,D,San Francisco,Hours Worked,108,24/02/2015,24,Feb,2015
244,D,San Francisco,Hours Worked,94,26/02/2015,26,Feb,2015
245,D,San Francisco,Hours Worked,104,25/02/2015,25,Feb,2015
246,D,San Francisco,Hours Worked,109,27/02/2015,27,Feb,2015
247,D,San Francisco,Production B,16,25/02/2015,25,Feb,2015
248,A,LA,Production A,56,05/03/2015,05,Mar,2015
249,A,LA,Production A,31,03/03/2015,03,Mar,2015
250,A,LA,Production A,57,06/03/2015,06,Mar,2015
251,A,LA,Hours Worked,104,06/03/2015,06,Mar,2015
252,A,LA,Hours Worked,82,02/03/2015,02,Mar,2015
253,A,LA,Production B,31,03/03/2015,03,Mar,2015
254,A,LA,Hours Worked,118,03/03/2015,03,Mar,2015
255,A,LA,Hours Worked,103,04/03/2015,04,Mar,2015
256,A,LA,Hours Worked,80,05/03/2015,05,Mar,2015
257,G,Irvine,Hours Worked,77,08/03/2015,08,Mar,2015
258,G,Irvine,Hours Worked,110,09/03/2015,09,Mar,2015
259,G,Irvine,Production A,97,08/03/2015,08,Mar,2015
260,G,Irvine,Production B,17,14/03/2015,14,Mar,2015
261,G,Irvine,Production B,57,09/03/2015,09,Mar,2015
262,G,Irvine,Production B,31,08/03/2015,08,Mar,2015
263,G,Irvine,Hours Worked,96,14/03/2015,14,Mar,2015
264,G,Irvine,Production A,145,09/03/2015,09,Mar,2015
265,G,Irvine,Production A,91,14/03/2015,14,Mar,2015
266,E,San Diego,Production A,37,23/05/2015,23,May,2015
267,E,San Diego,Production A,32,18/05/2015,18,May,2015
268,E,San Diego,Production A,103,22/05/2015,22,May,2015
269,E,San Diego,Hours Worked,97,23/05/2015,23,May,2015
270,E,San Diego,Hours Worked,113,22/05/2015,22,May,2015
271,E,San Diego,Hours Worked,90,18/05/2015,18,May,2015
272,E,San Diego,Hours Worked,94,19/05/2015,19,May,2015
273,E,San Diego,Hours Worked,119,21/05/2015,21,May,2015
274,E,San Diego,Production A,61,21/05/2015,21,May,2015
275,F,San Mateo,Hours Worked,110,05/06/2015,05,Jun,2015
276,F,San Mateo,Hours Worked,165,01/06/2015,01,Jun,2015
277,F,San Mateo,Hours Worked,48,31/05/2015,31,May,2015
278,F,San Mateo,Production B,40,06/06/2015,06,Jun,2015
279,F,San Mateo,Hours Worked,87,04/06/2015,04,Jun,2015
280,F,San Mateo,Hours Worked,119,02/06/2015,02,Jun,2015
281,F,San Mateo,Hours Worked,106,03/06/2015,03,Jun,2015
282,F,San Mateo,Hours Worked,117,06/06/2015,06,Jun,2015
283,F,San Mateo,Production A,35,04/06/2015,04,Jun,2015
284,F,San Mateo,Production A,34,03/06/2015,03,Jun,2015
285,B,San Diego,Production A,33,08/06/2015,08,Jun,2015
286,B,San Diego,Production A,82,09/06/2015,09,Jun,2015
287,B,San Diego,Production B,17,08/06/2015,08,Jun,2015
288,B,San Diego,Production A,35,12/06/2015,12,Jun,2015
289,B,San Diego,Hours Worked,108,08/06/2015,08,Jun,2015
290,B,San Diego,Hours Worked,97,07/06/2015,07,Jun,2015
291,B,San Diego,Hours Worked,119,12/06/2015,12,Jun,2015
292,B,San Diego,Hours Worked,104,13/06/2015,13,Jun,2015
293,F,San Mateo,Hours Worked,83,04/01/2015,04,Jan,2015
294,F,San Mateo,Hours Worked,117,08/01/2015,08,Jan,2015
295,F,San Mateo,Hours Worked,113,07/01/2015,07,Jan,2015
296,F,San Mateo,Hours Worked,76,09/01/2015,09,Jan,2015
